nombre,precio_normal,precio_app,precio_tarjeta,imagen_url,detalle_url,categoria,url_base,tienda
Monurol 3g Granulado para Solución Oral - Caja 1 UN CAJA 1 UN,"61,40",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/213005X.jpg,/producto/monurol-3g-granulado-para-solucion-oral/213005,salud,http://mifarma.com.pe,mifarma
Zitromax 500mg Tableta Recubierta CAJA 3 UN,"100,89",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/206044X.jpg,/producto/zitromax-500-mg-tabletas-recubiertas/206044,salud,http://mifarma.com.pe,mifarma
"Spiolto Respimat 2,5 µg /2,5 µg Solución para Inhalación FRASCO 30 DSS","319,00",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/011455X.jpg,/producto/spiolto-respimat-5mcg-dosis-solucion-para-inhalaci/011455,salud,http://mifarma.com.pe,mifarma
Bagomicina 100 Mg Comprimido Recubierto BLÍSTER 10 UN,"62,60",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/427814X.jpg,/producto/bagomicina-100-mg-comprimido-recubierto/427814,salud,http://mifarma.com.pe,mifarma
Cetirizina 10mg Tabletas recubiertas CAJA 100 UN,"10,00",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/134319X.jpg,/producto/cetirizina-10-mg-tableta-recubierta/134319,salud,http://mifarma.com.pe,mifarma
Allegra 120mg  Tabletas Recubiertas CAJA 10 UN,"44,60",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/134166X.jpg,/producto/allegra-120-mg-tabletas-recubiertas/134166,salud,http://mifarma.com.pe,mifarma
Bactrim Forte 800-160mg Comprimidos BLÍSTER 5 UN,"4,50",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/221009X.jpg,/producto/bactrim-forte-800-mg-160mg-comprimidos/221009,salud,http://mifarma.com.pe,mifarma
Fluimucil 600 mg Comprimidos Efervescentes BLÍSTER 2 UN,"6,80",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/303064X.jpg,/producto/fluimucil-600-mg-comprimidos-efervescentes/303064,salud,http://mifarma.com.pe,mifarma
Libbera 2.5 Mg/5 Ml Jarabe FRASCO 60 ML,"41,30",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/420215X.jpg,/producto/libbera-2-5-mg-5-ml-jarabe/420215,salud,http://mifarma.com.pe,mifarma
Macrodantina XR 100 mg Cápsulas de Liberación Prolongada BLISTER 4 UN,"29,92",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/426374X.jpg,/producto/macrodantina-xr-100-mg-capsulas-de-liberacion-prol/426374,salud,http://mifarma.com.pe,mifarma
Seretide 25 Mcg - 250 Mcg Inhalador - Frasco 120 DSS FRASCO 120 DSS,"189,00",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/428641X.jpg,/producto/seretide-25-mcg-250-mcg-inhalador/428641,salud,http://mifarma.com.pe,mifarma
Allegra 180mg  Tabletas Recubiertas CAJA 10 UN,"50,40",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/134169X.jpg,/producto/allegra-180-mg-tabletas-recubiertas/134169,salud,http://mifarma.com.pe,mifarma
Rinomar Babies Isotónico Higiene Diaria Solución para pulverización nasal CAJA 30 ML,"27,50",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/035219X.jpg,/producto/rinomar-babies-isotonico-higiene-diaria-sl-p-pv-ns/035219,salud,http://mifarma.com.pe,mifarma
Gripacheck Cápsula Blanda - Caja 100 UN BLÍSTER 4 UN,"7,16",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/026014X.jpg,/producto/gripacheck-capsula-blanda/026014,salud,http://mifarma.com.pe,mifarma
Acneclin 100 AP 100 mg Cápsulas de Liberación Prolongada CAJA 30 UN,"155,70",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/008047X.jpg,/producto/acneclin-ap-100-mg-capsulas-de-liberacion-prolonga/008047,salud,http://mifarma.com.pe,mifarma
Acnebiot 100 Mg Tabletas Recubiertas - Caja 30 UN CAJA 30 UN,"131,70",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/005925X.jpg,/producto/acnebiot-100-mg-tabletas-recubiertas/005925,salud,http://mifarma.com.pe,mifarma
Acetilcisteina LBG 600mg Gránulos para solución oral CAJA 50 UN,"75,00",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/033817X.jpg,/producto/acetilcisteina-lbg-600mg-solucion-oral-/033817,salud,http://mifarma.com.pe,mifarma
Symbicort  Turbuhaler 160 Mcg-4.5 Mcg Polvo para Inhalación Oral - Frasco 120 DSS FRASCO 120 DSS,"265,00",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/283062X.jpg,/producto/symbicort-160-mcg-4-5-mcg-polvo-para-inhalacion-or/283062,salud,http://mifarma.com.pe,mifarma
Rinomar Hipertónico Solución para Pulverización nasal CAJA 30 ML,"33,40",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/034825X.jpg,/producto/rinomar-hipertonico-sl-para-pv-ns/034825,salud,http://mifarma.com.pe,mifarma
Amikagram 1g/4ml Solución para Inyección CAJA 1 UN,"65,30",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/427524X.jpg,/producto/amikagram-1g-4ml-solucion-para-inyeccion/427524,salud,http://mifarma.com.pe,mifarma
Ampicilina 1g Polvo para Solución Inyectable CAJA 10 UN,"39,10",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/074272X.jpg,/producto/ampicilina-1g-polvo-para-solucion-inyectable/074272,salud,http://mifarma.com.pe,mifarma
Bencilpenicilina Procainica 1 000 000 UI Polvo para Suspensión Inyectable CAJA 10 UN,"48,40",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/073964X.jpg,/producto/bencilpenicilina-procainica-1-000-000-ui-polvo-para-suspension-inyectable/073964,salud,http://mifarma.com.pe,mifarma
Ampicilina 1g Polvo Para Solución Inyectable CAJA 10 UN,"72,90",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/073494X.jpg,/producto/ampicilina-1g-polvo-para-solucion-inyectable/073494,salud,http://mifarma.com.pe,mifarma
Piperacilina + Tazobactam 4.0g + 0.5g Polvo para Solución para Perfusión CAJA 1 UN,"37,00",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/072713X.jpg,/producto/piperacilina---tazobactam-4-0g---0-5g-polvo-para-solucion-para-perfusion/072713,salud,http://mifarma.com.pe,mifarma
Penicilina G Procainica 1 000 000 UI Polvo para Solución Inyectable CAJA 10 EA,"18,40",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/072273X.jpg,/producto/penicilina-g-procainica-1-000-000-ui-polvo-para-solucion-inyectable/072273,salud,http://mifarma.com.pe,mifarma
Fluricort 125mcg/dosis Aerosol para Inhalación FRASCO 6 ML,"93,50",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/037612X.jpg,/producto/fluricort-125mcg-aerosol-para-inhalacion/037612,salud,http://mifarma.com.pe,mifarma
Zetafex 30mg/5ml Suspensión Oral FRASCO 150 ML,"61,80",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/071411X.jpg,/producto/zetafex-30mg-5ml-suspension-oral/071411,salud,http://mifarma.com.pe,mifarma
