nombre,precio_normal,precio_app,precio_tarjeta,imagen_url,detalle_url,categoria,url_base,tienda
Afrin SP 0.05% Solución para Pulverización Nasal FRASCO 15 ML,"33,20",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/342001X.jpg,/producto/afrin-sp-0-05-solucion-para-pulverizacion-nasal-a/342001,salud,http://inkafarma.com.pe,inkafarma
Zitromax 500mg Tableta Recubierta CAJA 3 UN,"98,00",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/206044X.jpg,/producto/zitromax-500-mg-tabletas-recubiertas/206044,salud,http://inkafarma.com.pe,inkafarma
"Spiolto Respimat 2,5 µg /2,5 µg Solución para Inhalación FRASCO 30 DSS","309,70",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/011455X.jpg,/producto/spiolto-respimat-5mcg-dosis-solucion-para-inhalaci/011455,salud,http://inkafarma.com.pe,inkafarma
Bagomicina 100 Mg Comprimido Recubierto BLÍSTER 10 UN,"60,80",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/427814X.jpg,/producto/bagomicina-100-mg-comprimido-recubierto/427814,salud,http://inkafarma.com.pe,inkafarma
Cetirizina 10mg Tabletas recubiertas CAJA 100 UN,"10,00",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/134319X.jpg,/producto/cetirizina-10-mg-tableta-recubierta/134319,salud,http://inkafarma.com.pe,inkafarma
Allegra 120mg  Tabletas Recubiertas CAJA 10 UN,"43,30",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/134166X.jpg,/producto/allegra-120-mg-tabletas-recubiertas/134166,salud,http://inkafarma.com.pe,inkafarma
Bactrim Forte 800-160mg Comprimidos BLÍSTER 5 UN,"4,50",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/221009X.jpg,/producto/bactrim-forte-800-mg-160mg-comprimidos/221009,salud,http://inkafarma.com.pe,inkafarma
Fluimucil 600 mg Comprimidos Efervescentes BLÍSTER 2 UN,"6,60",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/303064X.jpg,/producto/fluimucil-600-mg-comprimidos-efervescentes/303064,salud,http://inkafarma.com.pe,inkafarma
Libbera 2.5 Mg/5 Ml Jarabe FRASCO 60 ML,"40,10",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/420215X.jpg,/producto/libbera-2-5-mg-5-ml-jarabe/420215,salud,http://inkafarma.com.pe,inkafarma
Macrodantina XR 100 mg Cápsulas de Liberación Prolongada BLISTER 4 UN,"29,00",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/426374X.jpg,/producto/macrodantina-xr-100-mg-capsulas-de-liberacion-prol/426374,salud,http://inkafarma.com.pe,inkafarma
Seretide 25 Mcg - 250 Mcg Inhalador - Frasco 120 DSS FRASCO 120 DSS,"183,50",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/428641X.jpg,/producto/seretide-25-mcg-250-mcg-inhalador/428641,salud,http://inkafarma.com.pe,inkafarma
Allegra 180mg  Tabletas Recubiertas CAJA 10 UN,"48,90",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/134169X.jpg,/producto/allegra-180-mg-tabletas-recubiertas/134169,salud,http://inkafarma.com.pe,inkafarma
Rinomar Babies Isotónico Higiene Diaria Solución para pulverización nasal CAJA 30 ML,"26,70",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/035219X.jpg,/producto/rinomar-babies-isotonico-higiene-diaria-sl-p-pv-ns/035219,salud,http://inkafarma.com.pe,inkafarma
Gripacheck Cápsula Blanda - Caja 100 UN BLÍSTER 4 UN,"6,95",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/026014X.jpg,/producto/gripacheck-capsula-blanda/026014,salud,http://inkafarma.com.pe,inkafarma
Acneclin 100 AP 100 mg Cápsulas de Liberación Prolongada CAJA 30 UN,"151,20",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/008047X.jpg,/producto/acneclin-ap-100-mg-capsulas-de-liberacion-prolonga/008047,salud,http://inkafarma.com.pe,inkafarma
Acnebiot 100 Mg Tabletas Recubiertas - Caja 30 UN CAJA 30 UN,"127,80",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/005925X.jpg,/producto/acnebiot-100-mg-tabletas-recubiertas/005925,salud,http://inkafarma.com.pe,inkafarma
Acetilcisteina LBG 600mg Gránulos para solución oral CAJA 50 UN,"75,00",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/033817X.jpg,/producto/acetilcisteina-lbg-600mg-solucion-oral-/033817,salud,http://inkafarma.com.pe,inkafarma
Symbicort  Turbuhaler 160 Mcg-4.5 Mcg Polvo para Inhalación Oral - Frasco 120 DSS FRASCO 120 DSS,"257,30",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/283062X.jpg,/producto/symbicort-160-mcg-4-5-mcg-polvo-para-inhalacion-or/283062,salud,http://inkafarma.com.pe,inkafarma
Rinomar Hipertónico Solución para Pulverización nasal CAJA 30 ML,"32,40",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/034825X.jpg,/producto/rinomar-hipertonico-sl-para-pv-ns/034825,salud,http://inkafarma.com.pe,inkafarma
Prednisona 20mg Tableta CAJA 100 UN,"10,00",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/423736X.jpg,/producto/prednisona-20-mg-tableta/423736,salud,http://inkafarma.com.pe,inkafarma
Prednisona 5mg Tableta CAJA 100 UN,"4,00",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/423399X.jpg,/producto/prednisona-5-mg-tableta/423399,salud,http://inkafarma.com.pe,inkafarma
Clorfenamina 4mg Tableta CAJA 100 UN,"4,00",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/134310X.jpg,/producto/clorfenamina-4mg-portugaltableta-/134310,salud,http://inkafarma.com.pe,inkafarma
Doxiciclina 100 mg Tableta Recubierta CAJA 100 UN,"30,00",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/068533X.jpg,/producto/doxiciclina-100-mg-tableta-recubierta/068533,salud,http://inkafarma.com.pe,inkafarma
Desloratadina 5mg Tableta Recubierta CAJA 100 UN,"27,00",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/067846X.jpg,/producto/desloratadina-5mg-tableta-recubierta/067846,salud,http://inkafarma.com.pe,inkafarma
Dexametasona 4mg Tableta CAJA 100 UN,"11,00",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/036284X.jpg,/producto/dexametasona-4mg-tableta/036284,salud,http://inkafarma.com.pe,inkafarma
Ciprofloxacino 500mg Tabletas Recubiertas CAJA 100 UN,"39,00",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/017995X.jpg,/producto/ciprofloxacino-500mg-tabletas-recubiertas/017995,salud,http://inkafarma.com.pe,inkafarma
Amoxicilina 500 mg Tableta - Caja 100 UN CAJA 100 UN,"25,00",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/014559X.jpg,/producto/amoxicilina-500-mg-tableta/014559,salud,http://inkafarma.com.pe,inkafarma
Amoxicilina 500mg Cápsula CAJA 100 UN,"26,00",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/014552X.jpg,/producto/amoxicilina-ptg-500mg-capsula/014552,salud,http://inkafarma.com.pe,inkafarma
Loratadina 10mg CAJA 100 UN,"6,00",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/013075X.jpg,/producto/loratadina-10mg/013075,salud,http://inkafarma.com.pe,inkafarma
Dicloxacilina 500 mg Cápsula Portugal - Caja 100 UN BLÍSTER 10 UN,"3,70",,,,/producto/dicloxacilina-500-mg-capsula-portugal/425384,salud,http://inkafarma.com.pe,inkafarma
Prednisona 50mg Tableta BLÍSTER 10 UN,"2,60",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/425382X.jpg,/producto/prednisona-50-mg-tableta/425382,salud,http://inkafarma.com.pe,inkafarma
Loratadina 10 Mg Tableta Farmindustria CAJA 100 UN,"10,00",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/424884X.jpg,/producto/loratadina-10-mg-tableta-farmindustria/424884,salud,http://inkafarma.com.pe,inkafarma
Dexametasona 4 Mg Tableta - Caja 100 UN CAJA 100 UN,"22,00",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/424750X.jpg,/producto/dexametasona-4-mg-tableta/424750,salud,http://inkafarma.com.pe,inkafarma
Isla Mint Pastilla - Caja 50 UN CAJA 50 UN,"23,00",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/424749X.jpg,/producto/isla-mint-pastilla/424749,salud,http://inkafarma.com.pe,inkafarma
Hisaler 10mg Comprimidos Recubiertos BLÍSTER 10 UN,"11,00",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/424659X.jpg,/producto/hisaler-10-mg-comprimido/424659,salud,http://inkafarma.com.pe,inkafarma
Amoxicilina 250 mg/5 mL  Polvo para Suspensión Portugal FRASCO 60 ML,"2,90",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/424396X.jpg,/producto/amoxicilina-250-mg-5-ml-suspension-portugal/424396,salud,http://inkafarma.com.pe,inkafarma
Prednisona 20 mg Tableta CAJA 100 UN,"18,60",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/422801X.jpg,/producto/prednisona-20-mg-tableta/422801,salud,http://inkafarma.com.pe,inkafarma
Cetirizina 5mg/5ml Jarabe Portugal - Frasco 60 ML FRASCO 60 ML,"3,10",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/420338X.jpg,/producto/cetirizina-5mg-5ml-jarabe-portugal/420338,salud,http://inkafarma.com.pe,inkafarma
Dextrometorfano 15mg/5ml Jarabe FRASCO 120 ML,"3,40",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/324095X.jpg,/producto/dextrometorfano-15mg-5ml-portugaljarabe-/324095,salud,http://inkafarma.com.pe,inkafarma
Fluimucil Oral 200 mg Granulado para Solución Oral GRANULADO 1 UN,"2,30",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/303046X.jpg,/producto/fluimucil-oral-200-mg-sobre-granulado-para-solucio/303046,salud,http://inkafarma.com.pe,inkafarma
Ambroxol 30mg|5ml Jarabe FRASCO 120 ML,"3,00",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/300091X.jpg,/producto/ambroxol-30-mg-5-ml-jarabe/300091,salud,http://inkafarma.com.pe,inkafarma
Tetraciclina 500 mg Cápsulas CAJA 100 UN,"29,00",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/222095X.jpg,/producto/tetraciclina-ptg-500mg-cap/222095,salud,http://inkafarma.com.pe,inkafarma
Sulfametaxazol + Trimetoprima Tabletas BLÍSTER 10 UN,"2,10",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/221125X.jpg,/producto/sulfametoxazol-800-mgtrimetoprima-160-mg-tableta/221125,salud,http://inkafarma.com.pe,inkafarma
Amoxidal Duo 875 Mg Comprimido Recubierto BLÍSTER 7 UN,"9,10",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/214422X.jpg,/producto/amoxidal-duo-875-mg-comprimido-recubierto/214422,salud,http://inkafarma.com.pe,inkafarma
Cloranfenicol 500mg Cápsula BLÍSTER 10 UN,"5,80",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/205050X.jpg,/producto/cloranfenicol-500mg-capsula/205050,salud,http://inkafarma.com.pe,inkafarma
Cefalogen 1G Polvo Para Solución Inyectable Intramuscular FRASCO 1 UN,"12,70",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/204074X.jpg,/producto/cefalogen-1g-polvo-para-solucion-inyectable-intram/204074,salud,http://inkafarma.com.pe,inkafarma
Scadan 4mg Tableta BLÍSTER 10 UN,"4,20",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/134294X.jpg,/producto/scadan-4mg-tableta/134294,salud,http://inkafarma.com.pe,inkafarma
Libbera 5mg Tableta recubierta CAJA 10 UN,"34,30",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/134277X.jpg,/producto/libbera-5mg-tableta-recubierta/134277,salud,http://inkafarma.com.pe,inkafarma
Clorfenamina Maleato 2mg/5 mL Solución oral FRASCO 120 ML,"1,90",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/134247X.jpg,/producto/clorfenamina-2-mg-5-ml-jarabe/134247,salud,http://inkafarma.com.pe,inkafarma
Rhino-BB DM Cloruro de sodio 0.9% Solución Gotas Nasales FRASCO 15 ML,"6,60",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/072451X.jpg,/producto/rhino-bb-dm-cloruro-de-sodio-09-solucion-gotas-nasales/072451,salud,http://inkafarma.com.pe,inkafarma
Deflazacort 30mg Tableta CAJA 10 UN,"32,00",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/071802X.jpg,/producto/deflazacort-30mg-tableta/071802,salud,http://inkafarma.com.pe,inkafarma
Cefalexina 500mg Tableta Recubierta CAJA 100 UN,"34,00",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/070241X.jpg,/producto/cefalexina-500mg-tableta-recubierta/070241,salud,http://inkafarma.com.pe,inkafarma
Levocetirizina 5mg Tableta Recubierta CAJA 100 UN,"59,00",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/068996X.jpg,/producto/levocetirizina-5mg-tableta-recubierta/068996,salud,http://inkafarma.com.pe,inkafarma
Bilergy 20 20mg Tableta CAJA 10 UN,"42,00",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/067814X.jpg,/producto/bilergy-20-20mg-tableta/067814,salud,http://inkafarma.com.pe,inkafarma
Amigdazol Plus Comprimidos CAJA 120 UN,"72,00",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/066735X.jpg,/producto/amigdazol-plus-comprimidos/066735,farmacia,http://inkafarma.com.pe,inkafarma
Desenfriol Comprimido recubierto CAJA 24 UN,"25,12",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/066564X.jpg,/producto/desenfriol-comprimido-recubierto/066564,salud,http://inkafarma.com.pe,inkafarma
Cefuroxima 500mg Tableta recubierta CAJA 50 UN,"185,00",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/038026X.jpg,/producto/cefuroxima-500mg-tableta-recubierta/038026,salud,http://inkafarma.com.pe,inkafarma
Amoxicilina+Ac.Clavulanico 500mg+125mg Tab recubierta CAJA 10 UN,"13,10",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/037981X.jpg,/producto/amox-ac-clavulanico-500mg-125-tab-recubierta/037981,salud,http://inkafarma.com.pe,inkafarma
Cloroquin 200mg Tableta Recubierta CAJA 10 UN,"31,30",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/036549X.jpg,/producto/cloroquin-200mg-tableta-recubierta/036549,salud,http://inkafarma.com.pe,inkafarma
Macroxona 5 mg Comprimidos CAJA 50 UN,"36,60",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/035681X.jpg,/producto/macroxona-5-mg-comprimidos/035681,salud,http://inkafarma.com.pe,inkafarma
Acetilcisteina LBG 200mg Gránulos para solución oral CAJA 50 UN,"77,50",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/033816X.jpg,/producto/acetilcisteina-lbg-200mg-solucion-oral/033816,salud,http://inkafarma.com.pe,inkafarma
Dexametasona 4mg/2ml Solución Inyectable UNIDAD 1 UN,"2,20",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/029504X.jpg,/producto/dexametasona-4mg-2ml-solucion-inyectable/029504,salud,http://inkafarma.com.pe,inkafarma
Amoxicilina 500mg Tabletas Recubiertas BLÍSTER 10 UN,"2,60",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/029188X.jpg,/producto/amoxicilina-500mg-tabletas-recubiertas/029188,salud,http://inkafarma.com.pe,inkafarma
Findaler 10mg Comprimidos recubiertos BLÍSTER 10 UN,"8,50",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/025849X.jpg,/producto/findaler-10mg-comprimidos-recubiertos/025849,salud,http://inkafarma.com.pe,inkafarma
Azatioprina 50mg Tabletas CAJA 30 UN,"106,80",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/024030X.jpg,/producto/azatioprina-50mg-tabletas/024030,salud,http://inkafarma.com.pe,inkafarma
Tapsin Plus Caliente Día Sabor Limón CAJA 20 UN,"44,00",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/023900X.jpg,/producto/tapsin-plus-caliente-dia-sabor-limon/023900,salud,http://inkafarma.com.pe,inkafarma
Palcosil 600mg Polvo para Solución Oral - Caja 30 UN CAJA 30 UN,"81,30",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/023849X.jpg,/producto/palcosil-600mg-polvo-para-solucion-oral/023849,salud,http://inkafarma.com.pe,inkafarma
Palcosil 200mg Polvo Para Solución Oral SOBRE 1 UN,"1,90",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/023792X.jpg,/producto/palcosil-200-mg-polvo-para-solucion-oral/023792,salud,http://inkafarma.com.pe,inkafarma
Tapsin Plus Caliente Noche Polvo para solución oral CAJA 20 UN,"44,00",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/021093X.jpg,/producto/tapsin-plus-caliente-noche-polvo-para-solucion/021093,salud,http://inkafarma.com.pe,inkafarma
Bilaxten 20mg Comprimido CAJA 20 UN,"82,80",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/020700X.jpg,/producto/bilaxten-20mg-comprimido/020700,salud,http://inkafarma.com.pe,inkafarma
Doxiciclina 100mg Cápsulas BLÍSTER 10 UN,"2,40",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/019096X.jpg,/producto/doxiciclina-100mg-capsulas/019096,salud,http://inkafarma.com.pe,inkafarma
Montelukast 5mg Tabletas masticables CAJA 100 UN,"114,00",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/018335X.jpg,/producto/montelukast-5mg-tabletas-masticables/018335,salud,http://inkafarma.com.pe,inkafarma
Levofloxacino 500mg Tabletas Recubiertas BLÍSTER 10 UN,"31,00",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/018333X.jpg,/producto/levofloxacino-500mg-tabletas-recubiertas/018333,salud,http://inkafarma.com.pe,inkafarma
Montelukast 10mg Tabletas recubiertas BLÍSTER 10 UN,"7,80",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/018203X.jpg,/producto/montelukast-10mg-tabletas-recubiertas-/018203,salud,http://inkafarma.com.pe,inkafarma
Desloratadina 5mg Tabletas recubiertas CAJA 100 UN,"26,00",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/017199X.jpg,/producto/desloratadina-5mg-tabletas-recubiertas/017199,salud,http://inkafarma.com.pe,inkafarma
Deflazacort 6mg Tableta CAJA 10 UN,"12,70",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/016000X.jpg,/producto/deflazacort-6mg-tableta/016000,salud,http://inkafarma.com.pe,inkafarma
Ampicilina 500 mg Cápsulas CAJA 100 UN,"29,00",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/014574X.jpg,/producto/ampicilina-500-mg-capsulas/014574,salud,http://inkafarma.com.pe,inkafarma
Dicloxacilina 500mg Cápsulas BLÍSTER 10 UN,"5,50",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/014555X.jpg,/producto/dicloxacilina-500mg-capsulas/014555,salud,http://inkafarma.com.pe,inkafarma
Dexametasona 0.5mg Tabletas CAJA 100 UN,"8,20",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/013614X.jpg,/producto/dexametasona-0-5mg-tabletas/013614,salud,http://inkafarma.com.pe,inkafarma
Mentholatum Caramelo Sobre x 4 Unid - Bolsa 20 UN BOLSA 20 UN,"14,00",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/011666X.jpg,/producto/mentholatum-caramelo-sobre-x-4-unid/011666,salud,http://inkafarma.com.pe,inkafarma
Clindamicina 300mg Cápsula BLÍSTER 10 UN,"7,00",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/010433X.jpg,/producto/clindamicina-300-mg-capsula/010433,salud,http://inkafarma.com.pe,inkafarma
Urofurin 100mg Tabletas BLÍSTER 10 UN,"13,00",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/004594X.jpg,/producto/urofurin-100-mg-tabletas/004594,salud,http://inkafarma.com.pe,inkafarma
Neo Nisoprex 15mg/5ml Solución Oral FRASCO 100 ML,"27,50",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/961148X.jpg,/producto/neo-nisoprex-15mg-5ml-solucion-oral/961148,salud,http://inkafarma.com.pe,inkafarma
Roxime 500mg Tableta Recubierta CAJA 10 UN,"79,40",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/431542X.jpg,/producto/roxime-500-mg-tableta-recubierta/431542,salud,http://inkafarma.com.pe,inkafarma
